REL,RF,NPC,PFC,WCC,AFR
0.95995996,0.092167167,346711126.1,0.023016125,0.008596726,5855.466853
0.956956957,0.68475976,253468156.3,0.042819655,0.003126144,5855.466853
0.913913914,0.156831832,203771133.2,0.028236628,0.003315531,4524.187321
0.956956957,0.453253253,294272769.9,0.008467115,0.02677163,4524.187321
0.924924925,0.09537037,100487344.9,0.094989256,0,9220.348761
0.954954955,0.143518519,258067909.7,0.013353419,0.024888436,7829.664389
0.96996997,0.802652653,314596296.3,0.03151279,0.018454128,5855.466853
0.930930931,0.069494494,229940508.7,0.029631624,0.010358227,7829.664389
0.888888889,0.0497998,190933271.4,0.019917851,0.014537529,4524.187321
0.957957958,0.453103103,294272769.9,0.013966723,0.029485645,4524.187321
0.905905906,0.052252252,189348160.9,0.038972981,0.004995095,7829.664389
0.954954955,0.048548549,384902259.4,0.039039277,0.004839605,4524.187321
0.904904905,0.396996997,179703523.1,0.037043085,0.002879113,4524.187321
0.967967968,0.776101101,283765396.3,0.024325084,0.024108544,9220.348761
0.963963964,0.302752753,297609715,#NAME?,0.002855005,7829.664389
0.903903904,0.188738739,167594152.4,#NAME?,0.004665364,5855.466853
0.894894895,0.752627628,69955970.69,0.070184546,0.014230732,7829.664389
0.901901902,0.138413413,140969967.2,0.079807661,0.000946725,7829.664389
0.910910911,0.457782783,188720278.2,0.021620409,0.016402916,4524.187321
0.902902903,0.167017017,166521078.8,0.025702162,0.004948155,5855.466853
0.777777778,0.238163163,0,0.028640783,0.002626433,5855.466853
0.902902903,0.334784785,178336749.8,0.032451709,0.005655231,4524.187321
0.936936937,0.734884885,230235840.5,0.00749531,0.030516885,4524.187321
0.964964965,0.561036036,306470556.4,0.04092946,0.003318713,5855.466853
0.93993994,0.085135135,257809143.7,0.036358015,0,4524.187321
0.920920921,0.052527528,69955970.69,0.109816551,0,9220.348761
0.941941942,0.128853854,132918461.3,0.098887039,0,9220.348761
0.94994995,0.14009009,267087870.3,0.039193556,0.000492883,4524.187321
0.933933934,0.71534034,196837015.8,0.008273457,0.031662684,5855.466853
0.930930931,0.297222222,69955970.69,0.085175925,0.004826866,9220.348761
0.887887888,0.197447447,125589013.1,0.071369451,0.004870786,7829.664389
0.963963964,0.439814815,284213262.7,0.007767153,0.027973692,5855.466853
0.922922923,0.158183183,194651328.3,0.007206158,0.025370194,5855.466853
