REL,RF,NPC,PFC,WCC,,,,,,REL,RF,NPC,PFC,WCC
0.941941942,0.255980981,119078489.1,0.085959599,0.013538777,,,,,,,,,,
0.955955956,0.061461461,276505621.8,0.086480843,0.003768174,,,,,,,,,,
0.914914915,0.476651652,0,0.094869977,0.009581968,,,,,,,,,,
0.925925926,0.093443443,79368545.7,0.084630397,0.014286476,,,,,,,,,,
0.910910911,0.233533534,0,0.090665865,0.000299473,,,,,,,,,,
0.963963964,0.887487487,185919094.5,0.084884718,0.013948021,,,,,,,,,,
0.912912913,0.049874875,208132890.5,0.014676612,0.01999416,,,,,,,,,,
0.956956957,0.057657658,290077278.3,0.008838554,0.021212799,,,,,,,,,,
0.940940941,0.307882883,103314143.5,0.089323884,0.012281183,,,,,,,,,,
0.932932933,0.214414414,69955970.69,0.082986318,0.014828353,,,,,,,,,,
0.954954955,0.062137137,215644291.3,0.093244646,0,,,,,,,,,,
0.973973974,0.906356356,285070856.8,0.114955783,0.003092769,,,,,,,,,,
0.938938939,0.122797798,137927369.1,0.076336934,0.014830562,,,,,,,,,,
0.937937938,0.049274274,248708500.9,0.007791211,0.020414164,,,,,,,,,,
0.954954955,0.407157157,169933225.7,0.089204398,0.007149145,,,,,,,,,,
0.764764765,0.236386386,0,0.027170377,0.002505495,,,,,,,,,,
0.965965966,0.909634635,228909554.1,0.114299018,0.004013345,,,,,,,,,,
0.753753754,0.091216216,0,0.033654159,0.00752067,,,,,,,,,,
0.953953954,0.089339339,266424319.8,0.034579284,0.008670189,,,,,,,,,,
0.941941942,0.072822823,248473914,0.024531229,0.014115619,,,,,,,,,,
0.947947948,0.055455455,184322765.8,0.086076362,0.003666815,,,,,,,,,,
0.954954955,0.092492492,189245676.6,0.091051631,0.007509166,,,,,,,,,,
0.920920921,0.053803804,69955970.69,0.084846046,0,,,,,,,,,,
0.784784785,0.345970971,0,0.034117816,0.002067848,,,,,,,,,,
0.94994995,0.262862863,152799380.6,0.084207815,0.014558451,,,,,,,,,,
0.934934935,0.502552553,79368545.7,0.086615162,0.014265545,,,,,,,,,,
0.925925926,0.093643644,85998618.69,0.076083372,0.01482704,,,,,,,,,,
0.954954955,0.07982983,277910576,0.031914526,0.004510848,,,,,,,,,,
0.960960961,0.185860861,209555669.7,0.10976675,0,,,,,,,,,,
0.923923924,0.052527528,102233475.3,0.081529194,0.003144078,,,,,,,,,,
0.951951952,0.049024024,279936781.6,0.014120688,0.020615217,,,,,,,,,,
0.937937938,0.228403403,97289927.35,0.097175509,0,,,,,,,,,,
0.958958959,0.184434434,195110282.7,0.093944633,0,,,,,,,,,,
0.94994995,0.731731732,136886537.5,0.086791687,0.012586949,,,,,,,,,,
0.953953954,0.066141141,279657684.6,0.033718844,0.001417188,,,,,,,,,,
0.956956957,0.148473473,189245676.6,0.078135636,0.014834142,,,,,,,,,,
0.921921922,0.073398398,81406950.8,0.086806674,0,,,,,,,,,,
0.933933934,0.438113113,69955970.69,0.083241794,0.015863011,,,,,,,,,,
0.957957958,0.073573574,289802189.8,0.032696876,0.004920594,,,,,,,,,,
0.870870871,0.341216216,0,0.077101825,0.00423271,,,,,,,,,,
0.95995996,0.07977978,292882513.9,0.02047344,0.014748405,,,,,,,,,,
0.951951952,0.072322322,186194486.5,0.090591895,0.008280054,,,,,,,,,,
0.932932933,0.231081081,69955970.69,0.093872628,0.002907731,,,,,,,,,,
