REL,RF,NPC,PFC,WCC
0.952452452,0.052277277,189348160.9,0.030129836,0.004526208
0.926426426,0.074324324,76231745.31,0.006176606,0.021114131
0.953453453,0.059934935,171459865.6,0.076176558,0.003519844
0.957457457,0.059209209,208451523.2,0.025472642,0.007680131
0.94994995,0.052627628,177313292.5,0.029354874,0.003344205
0.937437437,0.051601602,147791527.1,0.019836471,0.01461399
0.983483483,0.917392392,232108677.1,0.061884635,0.024444195
0.942942943,0.052377377,159416110.7,0.018574361,0.015315181
0.928428428,0.124299299,76231745.31,0.030286737,0.004407835
0.942942943,0.057957958,159682869.2,0.026875171,0.004865996
0.967467467,0.441891892,72167783.73,0.088329935,0.002406822
0.972972973,0.141391391,153405162.9,0.090471723,0
0.926426426,0.074299299,76231745.31,0.018297018,0.014695927
0.982482482,0.85477978,214190101.9,0.099216712,0
0.97047047,0.049324324,259969808.4,0.024745133,0.005756894
0.928428428,0.117967968,76231745.31,0.039735339,0.006416088
0.984484484,0.800600601,291278929.4,0.019111854,0.026250678
0.976476476,0.914239239,147277124,0.083038925,0.024400096
0.950950951,0.064864865,179423369.8,0.024713973,0.004430669
0.95045045,0.0503003,178594807.6,0.02065475,0.014328867
0.872372372,0.068818819,0,0.029664496,0
0.982482482,0.872847848,265935611.3,0.024470674,0.023246682
0.945445445,0.051051051,168486742.9,0.024768398,0.013995364
0.927927928,0.106431431,76231745.31,0.023773211,0.007568782
0.922922923,0.051001001,76231745.31,0.006996198,0.018668151
0.97997998,0.645970971,209384913.8,0.066415364,0.009367629
0.95045045,0.0503003,178870234.7,0.008076144,0.021205189
0.975975976,0.799024024,144801336.4,0.083535308,0.01630463
0.977477477,0.884234234,159421726.1,0.093085224,0.015472689
0.946446446,0.0496997,188735681.3,0.014303722,0.019439832
0.975975976,0.718643644,147277124,0.085465445,0.007838552
0.945445445,0.051076076,168486742.9,0.030286893,0.004757269
0.985485485,0.048898899,307273050.7,0.108716605,0
0.975975976,0.050725726,205639036.3,0.092907044,0.002899195
0.984484484,0.903728729,279657684.6,0.037957124,0.017835541
0.941441441,0.057982983,119078489.1,0.05818298,0.01643509
0.982982983,0.049324324,299026010.1,#NAME?,0.004318896
0.938438438,0.053153153,154191589.1,0.014644144,0.01983306
0.977477477,0.334234234,173705038.4,0.09926605,0.005848684
0.98048048,0.117642643,287322410.7,0.018545719,0.016941784
0.939439439,0.078153153,147791527.1,0.019838461,0.014805526
0.981481481,0.586586587,278595484.3,0.024706527,0.014259137
0.955955956,0.349149149,0,0.082255061,0.012369454
0.976976977,0.090065065,193685541.7,0.081826777,0.004268657
0.941941942,0.097447447,149442049.1,0.023079947,0.008917439
0.974974975,0.627552553,138989744.4,0.080927526,0.020879547
0.97047047,0.066791792,249991307.6,0.013761711,0.021340062
0.877377377,0.121921922,0,0.035220354,0.00713456
0.931431431,0.233633634,0,0.074359423,0.004539957
0.935435435,0.050700701,151987302,0.008662896,0.018715159
0.983483483,0.487987988,345216749.2,0.028371634,0.017680605
0.944444444,0.049974975,177174891.8,0.028346786,0.011868851
0.961961962,0.082932933,112089850,0.081951814,0.001862564
0.938438438,0.053278278,154629830.6,0.019358477,0.014902694
0.937437437,0.051001001,152892634.1,0.024646299,0.006943115
0.982482482,0.599249249,279657684.6,0.011201083,0.030228608
0.984984985,0.109134134,306114539.9,0.090499164,0
0.973473473,0.049199199,265646845.7,0.013334881,0.021029566
0.977477477,0.335335335,168932652.7,0.105928163,0
0.978478478,0.074224224,284984755.4,0.028728355,0.003404174
0.971971972,0.07505005,248953535.6,0.008493905,0.022030007
0.948948949,0.113988989,162595388,0.032315885,0.009687887
0.957957958,0.081306306,196837015.8,0.02431864,0.007382277
0.98048048,0.319019019,209856516.6,0.082629885,0.014840456
0.932432432,0.130805806,69955970.69,0.075729028,0.004979118
0.965465465,0.049449449,237946877.1,0.010252561,0.021029566
0.963963964,0.108033033,86329083.73,0.089548539,0.009526367
0.961461461,0.085635636,78713520.16,0.077174101,0.014558451
0.982982983,0.800550551,278791074.5,0.046586096,0.004104222
0.974974975,0.078203203,259969808.4,0.016034965,0.019592731
0.974974975,0.900800801,135907124.6,0.084572822,0.016835174
0.961461461,0.055630631,97229324.54,0.085123407,0
0.978478478,0.084534535,277628200,0.017777564,0.017205523
0.911911912,0.05980981,158313549.1,0.01806438,0.009082295
0.93993994,0.092117117,146187716,0.0093003,0.021882654
0.977477477,0.06996997,215644291.3,0.094230794,0
0.977477477,0.334934935,168932652.7,0.082833136,0.014839294
0.981481481,0.75990991,259664238.6,0.035356457,0.018321098
0.963463463,0.0995996,93243970.58,0.081577992,0.004570067
0.953453453,0.052277277,188720278.2,0.015643869,0.019485146
0.962462462,0.078328328,216219819.3,0.037717163,0
0.957457457,0.04984985,208132890.5,0.014934568,0.019498906
0.972472472,0.860635636,107364795.1,0.104559053,0
0.976476476,0.631081081,152799380.6,0.088054921,0.010219768
0.972472472,0.068818819,259969808.4,0.034725836,0
0.962962963,0.05492993,132945544.5,0.08166824,0.000813564
0.96046046,0.058658659,71559781.8,0.078937678,0.014774467
0.977477477,0.135910911,189415100.4,0.094374377,0.007521013
0.979479479,0.222622623,185940465.8,0.082951588,0.004624376
0.983483483,0.46026026,325683888.9,0.017659165,0.028410669
0.975475475,0.049074074,277910576,0.022867587,0.014897942
0.958958959,0.061636637,209519658.9,0.045814406,0
0.974974975,0.062262262,202265405.5,0.079457943,0.014349174
0.984484484,0.785385385,331621148.1,0.051857201,0.004367744
0.98048048,0.696246246,259314712.6,0.029359827,0.011519675
0.922422422,0.082932933,0,0.06853156,0.007496399
0.981481481,0.760435435,256237335.5,0.030405993,0.019098233
0.98048048,0.13983984,288541163.2,0.034695638,0.004451957
0.979479479,0.721171171,176432491,0.106358671,0.001885285
0.972472472,0.068843844,258980608.8,0.024135687,0.006498949
0.928428428,0.117992993,76231745.31,0.005130377,0.022224431
0.984484484,0.743468468,232438768.8,0.099445122,0
0.966466466,0.113413413,109590274.6,0.093822166,0
0.984484484,0.639189189,332221093.5,0.027855395,0.019656937
0.98048048,0.632432432,267058504.9,0.034249082,0.009958766
0.982482482,0.870845846,259969808.4,0.035674799,0.019293685
0.98048048,0.290215215,277264802.5,0.023814569,0.018053806
0.978978979,0.191366366,201396454.7,0.081529523,0.015072694
0.981481481,0.789189189,268446123.4,0.031018597,0.012523668
0.932432432,0.07007007,69955970.69,0.061682972,0.009200194
0.966466466,0.1254004,89346100.53,0.091208685,0
0.983483483,0.710560561,298869441.8,0.029174748,0.011564843
0.943443443,0.051476476,164524258.3,0.008869434,0.018670038
0.979479479,0.706281281,176432491,0.089403337,0.01481052
0.928928929,0.189039039,0,0.074402585,0.00774954
0.984484484,0.854129129,229583424.2,0.097046206,1.22E-05
0.983483483,0.917392392,232108677.1,0.071421427,0.01769197
0.981481481,0.276051051,232438768.8,0.092949174,0.007284147
0.935435435,0.373173173,0,0.063222882,0.010186368
0.974974975,0.067492492,206082898.1,0.082263259,0.008043913
0.98048048,0.547722723,230870007.1,0.065873472,0.009314944
0.982482482,0.710710711,231495570.3,0.061011106,0.011831999
0.921421421,0.303478478,0,0.064981405,0.018733659
0.947447447,0.074974975,168722476.7,0.031378239,0.005602419
0.964464464,0.049424424,239227173.8,0.008902596,0.021205189
0.98048048,0.117667668,287028844.8,0.014189225,0.024531574
0.959459459,0.076826827,204190690.8,0.024692585,0.005107272
