Realization	utility	week	infra.
55	0	261	7
55	0	1408	12
55	0	1669	8
56	0	261	7
56	0	1408	12
56	0	1669	8
57	0	261	7
57	0	1408	12
57	0	1669	8
58	0	261	7
58	0	1408	12
58	0	1669	8
59	0	261	7
59	0	782	12
59	0	1565	8
60	0	261	7
60	0	1408	12
60	0	1669	8
61	0	261	7
61	0	1408	12
61	0	1669	8
62	0	261	7
62	0	1408	12
62	0	1669	8
63	0	261	7
63	0	1408	12
63	0	1669	8
64	0	261	7
64	0	1408	12
64	0	1669	8
65	0	261	7
65	0	1408	12
65	0	1669	8
66	0	261	7
66	0	1408	12
66	0	1669	8
67	0	261	7
67	0	1252	12
67	0	1617	8
68	0	261	7
68	0	678	12
68	0	1200	8
69	0	261	7
69	0	1408	12
69	0	1669	8
70	0	261	7
70	0	1408	12
70	0	1669	8
71	0	261	7
71	0	1408	12
71	0	1669	8
72	0	261	7
72	0	1408	12
72	0	1669	8
73	0	261	7
73	0	1408	12
73	0	1669	8
74	0	261	7
74	0	1408	12
74	0	1669	8
75	0	261	7
75	0	1408	12
75	0	1669	8
76	0	261	7
76	0	1408	12
76	0	1669	8
77	0	261	7
77	0	1408	12
77	0	1669	8
78	0	261	7
78	0	1408	12
78	0	1669	8
79	0	261	7
79	0	1408	12
79	0	1669	8
80	0	261	7
80	0	1408	12
80	0	1669	8
81	0	261	7
81	0	1408	12
81	0	1669	8
82	0	261	7
82	0	1408	12
82	0	1669	8
83	0	261	7
83	0	1408	12
83	0	1669	8
84	0	261	7
84	0	1408	12
84	0	1669	8
85	0	261	7
85	0	1408	12
85	0	1669	8
86	0	261	7
86	0	1408	12
86	0	1669	8
87	0	261	7
87	0	1408	12
87	0	1669	8
88	0	261	7
88	0	1408	12
88	0	1669	8
89	0	261	7
89	0	1408	12
89	0	1669	8
90	0	261	7
90	0	1408	12
90	0	1669	8
91	0	261	7
91	0	1408	12
91	0	1669	8
92	0	261	7
92	0	1408	12
92	0	1669	8
93	0	261	7
93	0	1408	12
93	0	1669	8
94	0	261	7
94	0	1200	12
94	0	1617	8
95	0	261	7
95	0	1252	12
95	0	1617	8
96	0	261	7
96	0	1408	12
96	0	1669	8
97	0	261	7
97	0	1408	12
97	0	1669	8
98	0	261	7
98	0	1148	12
98	0	1617	8
99	0	261	7
99	0	1408	12
99	0	1669	8
100	0	261	7
100	0	1408	12
100	0	1669	8
101	0	261	7
101	0	1408	12
101	0	1669	8
102	0	261	7
102	0	1408	12
102	0	1669	8
103	0	261	7
103	0	1408	12
103	0	1669	8
104	0	261	7
104	0	1408	12
104	0	1669	8
105	0	261	7
105	0	1408	12
105	0	1669	8
106	0	261	7
106	0	1408	12
106	0	1669	8
107	0	261	7
107	0	1408	12
107	0	1669	8
108	0	261	7
108	0	1408	12
108	0	1669	8
109	0	261	7
109	0	991	12
109	0	1617	8
110	0	261	7
110	0	1304	12
110	0	1617	8
111	0	261	7
111	0	1408	12
111	0	1669	8
112	0	261	7
112	0	1408	12
112	0	1669	8
113	0	261	7
113	0	1408	12
113	0	1669	8
114	0	261	7
114	0	1408	12
114	0	1669	8
115	0	261	7
115	0	1408	12
115	0	1669	8
116	0	261	7
116	0	1408	12
116	0	1669	8
117	0	261	7
117	0	1408	12
117	0	1669	8
118	0	261	7
118	0	1408	12
118	0	1669	8
119	0	261	7
119	0	1304	12
119	0	1565	8
120	0	261	7
120	0	1408	12
120	0	1669	8
121	0	261	7
121	0	1408	12
121	0	1669	8
122	0	261	7
122	0	1408	12
122	0	1669	8
123	0	261	7
123	0	1408	12
123	0	1669	8
124	0	261	7
124	0	1408	12
124	0	1669	8
125	0	261	7
125	0	1408	12
125	0	1669	8
126	0	261	7
126	0	1148	12
126	0	1617	8
127	0	261	7
127	0	1408	12
127	0	1669	8
128	0	261	7
128	0	1408	12
128	0	1669	8
129	0	261	7
129	0	1408	12
129	0	1669	8
130	0	261	7
130	0	1408	12
130	0	1669	8
131	0	261	7
131	0	1408	12
131	0	1669	8
132	0	261	7
132	0	1252	12
132	0	1513	8
133	0	261	7
133	0	1408	12
133	0	1669	8
134	0	261	7
134	0	1408	12
134	0	1669	8
135	0	261	7
135	0	991	12
135	0	1252	8
136	0	261	7
136	0	1304	12
136	0	1617	8
137	0	261	7
137	0	1408	12
137	0	1669	8
138	0	261	7
138	0	1408	12
138	0	1669	8
139	0	261	7
139	0	1408	12
139	0	1669	8
140	0	261	7
140	0	1200	12
140	0	1617	8
141	0	261	7
141	0	1408	12
141	0	1669	8
142	0	261	7
142	0	1043	12
142	0	1304	8
143	0	261	7
143	0	1408	12
143	0	1669	8
144	0	261	7
144	0	1408	12
144	0	1669	8
145	0	261	7
145	0	1408	12
145	0	1669	8
146	0	261	7
146	0	1408	12
146	0	1669	8
147	0	261	7
147	0	1408	12
147	0	1669	8
148	0	261	7
148	0	1148	12
148	0	1408	8
149	0	261	7
149	0	1408	12
149	0	1669	8
150	0	261	7
150	0	1408	12
150	0	1669	8
151	0	261	7
151	0	1408	12
151	0	1669	8
152	0	261	7
152	0	1408	12
152	0	1669	8
153	0	261	7
153	0	1408	12
153	0	1669	8
154	0	261	7
154	0	1408	12
154	0	1669	8
155	0	261	7
155	0	1408	12
155	0	1669	8
156	0	261	7
156	0	1408	12
156	0	1669	8
157	0	261	7
157	0	1408	12
157	0	1669	8
158	0	261	7
158	0	1408	12
158	0	1669	8
159	0	261	7
159	0	1408	12
159	0	1669	8
160	0	261	7
160	0	1408	12
160	0	1669	8
161	0	261	7
161	0	1408	12
161	0	1669	8
162	0	261	7
162	0	887	12
162	0	1617	8
163	0	261	7
163	0	1408	12
163	0	1669	8
164	0	261	7
164	0	1408	12
164	0	1669	8
165	0	261	7
165	0	1408	12
165	0	1669	8
166	0	261	7
166	0	1408	12
166	0	1669	8
167	0	261	7
167	0	887	12
167	0	1252	8
168	0	261	7
168	0	1408	12
168	0	1669	8
169	0	261	7
169	0	1408	12
169	0	1669	8
170	0	261	7
170	0	1408	12
170	0	1669	8
171	0	261	7
171	0	1095	12
171	0	1356	8
172	0	261	7
172	0	1408	12
172	0	1669	8
173	0	261	7
173	0	1408	12
173	0	1669	8
174	0	261	7
174	0	1408	12
174	0	1669	8
175	0	261	7
175	0	1408	12
175	0	1669	8
176	0	261	7
176	0	1408	12
176	0	1669	8
177	0	261	7
177	0	1408	12
177	0	1669	8
178	0	261	7
178	0	1408	12
178	0	1669	8
179	0	261	7
179	0	1408	12
179	0	1669	8
180	0	261	7
180	0	1408	12
180	0	1669	8
181	0	261	7
181	0	1408	12
181	0	1669	8
182	0	261	7
182	0	1408	12
182	0	1669	8
183	0	261	7
183	0	1408	12
183	0	1669	8
184	0	261	7
184	0	1408	12
184	0	1669	8
185	0	261	7
185	0	1408	12
185	0	1669	8
186	0	261	7
186	0	1408	12
186	0	1669	8
187	0	261	7
187	0	1356	12
187	0	1617	8
188	0	261	7
188	0	1408	12
188	0	1669	8
189	0	261	7
189	0	1408	12
189	0	1669	8
190	0	261	7
190	0	1408	12
190	0	1669	8
191	0	261	7
191	0	1252	12
191	0	1617	8
192	0	261	7
192	0	1408	12
192	0	1669	8
193	0	261	7
193	0	1408	12
193	0	1669	8
194	0	261	7
194	0	1408	12
194	0	1669	8
195	0	261	7
195	0	1408	12
195	0	1669	8
196	0	261	7
196	0	1408	12
196	0	1669	8
197	0	261	7
197	0	1408	12
197	0	1669	8
198	0	261	7
198	0	1408	12
198	0	1669	8
199	0	261	7
199	0	1408	12
199	0	1669	8
200	0	261	7
200	0	521	12
200	0	782	8
201	0	261	7
201	0	1408	12
201	0	1669	8
202	0	261	7
202	0	1408	12
202	0	1669	8
203	0	261	7
203	0	1408	12
203	0	1669	8
204	0	261	7
204	0	1408	12
204	0	1669	8
205	0	261	7
205	0	1304	12
205	0	1565	8
206	0	261	7
206	0	1408	12
206	0	1669	8
207	0	261	7
207	0	1408	12
207	0	1669	8
208	0	261	7
208	0	1408	12
208	0	1669	8
209	0	261	7
209	0	1200	12
209	0	1617	8
210	0	261	7
210	0	1408	12
210	0	1669	8
211	0	261	7
211	0	1043	12
211	0	1617	8
212	0	261	7
212	0	1408	12
212	0	1669	8
213	0	261	7
213	0	1408	12
213	0	1669	8
214	0	261	7
214	0	1408	12
214	0	1669	8
215	0	261	7
215	0	1408	12
215	0	1669	8
216	0	261	7
216	0	1408	12
216	0	1669	8
217	0	261	7
217	0	1408	12
217	0	1669	8
218	0	261	7
218	0	1408	12
218	0	1669	8
219	0	261	7
219	0	1408	12
219	0	1669	8
220	0	261	7
220	0	1408	12
220	0	1669	8
221	0	261	7
221	0	1408	12
221	0	1669	8
222	0	261	7
222	0	1408	12
222	0	1669	8
223	0	261	7
223	0	1408	12
223	0	1669	8
224	0	261	7
224	0	1408	12
224	0	1669	8
225	0	261	7
225	0	1408	12
225	0	1669	8
226	0	261	7
226	0	1408	12
226	0	1669	8
227	0	261	7
227	0	1408	12
227	0	1669	8
228	0	261	7
228	0	1408	12
228	0	1669	8
229	0	261	7
229	0	1408	12
229	0	1669	8
230	0	261	7
230	0	1252	12
230	0	1617	8
231	0	261	7
231	0	1408	12
231	0	1669	8
232	0	261	7
232	0	1408	12
232	0	1669	8
233	0	261	7
233	0	1408	12
233	0	1669	8
234	0	261	7
234	0	1408	12
234	0	1669	8
235	0	261	7
235	0	1304	12
235	0	1617	8
236	0	261	7
236	0	1408	12
236	0	1669	8
237	0	261	7
237	0	1408	12
237	0	1669	8
238	0	261	7
238	0	1408	12
238	0	1669	8
239	0	261	7
239	0	1408	12
239	0	1669	8
240	0	261	7
240	0	1408	12
240	0	1669	8
241	0	261	7
241	0	1408	12
241	0	1669	8
242	0	261	7
242	0	1408	12
242	0	1669	8
243	0	261	7
243	0	1408	12
243	0	1669	8
244	0	261	7
244	0	1408	12
244	0	1669	8
245	0	261	7
245	0	1408	12
245	0	1669	8
246	0	261	7
246	0	782	12
246	0	1304	8
247	0	261	7
247	0	1408	12
247	0	1669	8
248	0	261	7
248	0	1408	12
248	0	1669	8
249	0	261	7
249	0	521	12
249	0	834	8
250	0	261	7
250	0	1408	12
250	0	1669	8
251	0	261	7
251	0	1408	12
251	0	1669	8
252	0	261	7
252	0	1408	12
252	0	1669	8
253	0	261	7
253	0	1408	12
253	0	1669	8
254	0	261	7
254	0	1408	12
254	0	1669	8
255	0	261	7
255	0	1408	12
255	0	1669	8
256	0	261	7
256	0	1408	12
256	0	1669	8
257	0	261	7
257	0	1408	12
257	0	1669	8
258	0	261	7
258	0	1408	12
258	0	1669	8
259	0	261	7
259	0	1408	12
259	0	1669	8
260	0	261	7
260	0	1408	12
260	0	1669	8
261	0	261	7
261	0	1408	12
261	0	1669	8
262	0	261	7
262	0	1408	12
262	0	1669	8
263	0	261	7
263	0	1408	12
263	0	1669	8
264	0	261	7
264	0	1408	12
264	0	1669	8
265	0	261	7
265	0	1408	12
265	0	1669	8
266	0	261	7
266	0	1356	12
266	0	1617	8
267	0	261	7
267	0	730	12
267	0	1617	8
268	0	261	7
268	0	1408	12
268	0	1669	8
269	0	261	7
269	0	1408	12
269	0	1669	8
270	0	261	7
270	0	1408	12
270	0	1669	8
271	0	261	7
271	0	1408	12
271	0	1669	8
272	0	261	7
272	0	1408	12
272	0	1669	8
273	0	261	7
273	0	1408	12
273	0	1669	8
274	0	261	7
274	0	1408	12
274	0	1669	8
275	0	261	7
275	0	1408	12
275	0	1669	8
276	0	261	7
276	0	1408	12
276	0	1669	8
277	0	261	7
277	0	1408	12
277	0	1669	8
278	0	261	7
278	0	1408	12
278	0	1669	8
279	0	261	7
279	0	1408	12
279	0	1669	8
280	0	261	7
280	0	1408	12
280	0	1669	8
281	0	261	7
281	0	1408	12
281	0	1669	8
282	0	261	7
282	0	1304	12
282	0	1565	8
283	0	261	7
283	0	1408	12
283	0	1669	8
284	0	261	7
284	0	939	12
284	0	1617	8
285	0	261	7
285	0	1408	12
285	0	1669	8
286	0	261	7
286	0	1408	12
286	0	1669	8
287	0	261	7
287	0	1408	12
287	0	1669	8
288	0	261	7
288	0	1408	12
288	0	1669	8
289	0	261	7
289	0	1408	12
289	0	1669	8
290	0	261	7
290	0	1408	12
290	0	1669	8
291	0	261	7
291	0	1408	12
291	0	1669	8
292	0	261	7
292	0	730	12
292	0	991	8
293	0	261	7
293	0	1408	12
293	0	1669	8
294	0	261	7
294	0	1408	12
294	0	1669	8
295	0	261	7
295	0	1408	12
295	0	1669	8
296	0	261	7
296	0	1408	12
296	0	1669	8
297	0	261	7
297	0	1408	12
297	0	1669	8
298	0	261	7
298	0	1408	12
298	0	1669	8
299	0	261	7
299	0	1408	12
299	0	1669	8
300	0	261	7
300	0	1408	12
300	0	1669	8
301	0	261	7
301	0	1408	12
301	0	1669	8
302	0	261	7
302	0	1356	12
302	0	1617	8
303	0	261	7
303	0	1408	12
303	0	1669	8
304	0	261	7
304	0	1408	12
304	0	1669	8
305	0	261	7
305	0	1408	12
305	0	1669	8
306	0	261	7
306	0	1408	12
306	0	1669	8
307	0	261	7
307	0	1408	12
307	0	1669	8
308	0	261	7
308	0	1408	12
308	0	1669	8
309	0	261	7
309	0	1408	12
309	0	1669	8
310	0	261	7
310	0	1408	12
310	0	1669	8
311	0	261	7
311	0	1408	12
311	0	1669	8
312	0	261	7
312	0	1408	12
312	0	1669	8
313	0	261	7
313	0	1408	12
313	0	1669	8
314	0	261	7
314	0	1408	12
314	0	1669	8
315	0	261	7
315	0	1095	12
315	0	1408	8
316	0	261	7
316	0	1408	12
316	0	1669	8
317	0	261	7
317	0	1408	12
317	0	1669	8
318	0	261	7
318	0	1408	12
318	0	1669	8
319	0	261	7
319	0	1408	12
319	0	1669	8
320	0	261	7
320	0	1408	12
320	0	1669	8
321	0	261	7
321	0	1408	12
321	0	1669	8
322	0	261	7
322	0	1408	12
322	0	1669	8
323	0	261	7
323	0	1408	12
323	0	1669	8
324	0	261	7
324	0	1408	12
324	0	1669	8
325	0	261	7
325	0	1304	12
325	0	1565	8
326	0	261	7
326	0	1043	12
326	0	1304	8
327	0	261	7
327	0	1408	12
327	0	1669	8
328	0	261	7
328	0	1408	12
328	0	1669	8
329	0	261	7
329	0	1408	12
329	0	1669	8
330	0	261	7
330	0	1408	12
330	0	1669	8
331	0	261	7
331	0	1408	12
331	0	1669	8
332	0	261	7
332	0	1408	12
332	0	1669	8
333	0	261	7
333	0	1408	12
333	0	1669	8
334	0	261	7
334	0	1408	12
334	0	1669	8
335	0	261	7
335	0	1408	12
335	0	1669	8
336	0	261	7
336	0	1148	12
336	0	1461	8
337	0	261	7
337	0	1408	12
337	0	1669	8
338	0	261	7
338	0	1408	12
338	0	1669	8
339	0	261	7
339	0	1408	12
339	0	1669	8
340	0	261	7
340	0	1408	12
340	0	1669	8
341	0	261	7
341	0	1408	12
341	0	1669	8
342	0	261	7
342	0	887	12
342	0	1252	8
343	0	261	7
343	0	1408	12
343	0	1669	8
344	0	261	7
344	0	1408	12
344	0	1669	8
345	0	261	7
345	0	1408	12
345	0	1669	8
346	0	261	7
346	0	1408	12
346	0	1669	8
347	0	261	7
347	0	1408	12
347	0	1669	8
348	0	261	7
348	0	1408	12
348	0	1669	8
349	0	261	7
349	0	1408	12
349	0	1669	8
350	0	261	7
350	0	1304	12
350	0	1617	8
351	0	261	7
351	0	1408	12
351	0	1669	8
352	0	261	7
352	0	1408	12
352	0	1669	8
353	0	261	7
353	0	1148	12
353	0	1408	8
354	0	261	7
354	0	1408	12
354	0	1669	8
355	0	261	7
355	0	1408	12
355	0	1669	8
356	0	261	7
356	0	1408	12
356	0	1669	8
357	0	261	7
357	0	1148	12
357	0	1617	8
358	0	261	7
358	0	1408	12
358	0	1669	8
359	0	261	7
359	0	1304	12
359	0	1617	8
360	0	261	7
360	0	1408	12
360	0	1669	8
361	0	261	7
361	0	1408	12
361	0	1669	8
362	0	261	7
362	0	1408	12
362	0	1669	8
363	0	261	7
363	0	1408	12
363	0	1669	8
364	0	261	7
364	0	1408	12
364	0	1669	8
365	0	261	7
365	0	1408	12
365	0	1669	8
366	0	261	7
366	0	1408	12
366	0	1669	8
367	0	261	7
367	0	1408	12
367	0	1669	8
368	0	261	7
368	0	1408	12
368	0	1669	8
369	0	261	7
369	0	1408	12
369	0	1669	8
370	0	261	7
370	0	1408	12
370	0	1669	8
371	0	261	7
371	0	1408	12
371	0	1669	8
372	0	261	7
372	0	1408	12
372	0	1669	8
373	0	261	7
373	0	1408	12
373	0	1669	8
374	0	261	7
374	0	1408	12
374	0	1669	8
375	0	261	7
375	0	1408	12
375	0	1669	8
376	0	261	7
376	0	991	12
376	0	1617	8
377	0	261	7
377	0	1408	12
377	0	1669	8
378	0	261	7
378	0	1408	12
378	0	1669	8
379	0	261	7
379	0	1408	12
379	0	1669	8
380	0	261	7
380	0	1408	12
380	0	1669	8
381	0	261	7
381	0	1408	12
381	0	1669	8
382	0	261	7
382	0	1408	12
382	0	1669	8
383	0	261	7
383	0	1408	12
383	0	1669	8
384	0	261	7
384	0	1408	12
384	0	1669	8
385	0	261	7
385	0	1408	12
385	0	1669	8
386	0	261	7
386	0	1408	12
386	0	1669	8
387	0	261	7
387	0	1200	12
387	0	1617	8
388	0	261	7
388	0	1408	12
388	0	1669	8
389	0	261	7
389	0	1408	12
389	0	1669	8
390	0	261	7
390	0	521	12
390	0	782	8
391	0	261	7
391	0	1408	12
391	0	1669	8
392	0	261	7
392	0	1408	12
392	0	1669	8
393	0	261	7
393	0	1408	12
393	0	1669	8
394	0	261	7
394	0	1408	12
394	0	1669	8
395	0	261	7
395	0	1408	12
395	0	1669	8
396	0	261	7
396	0	1408	12
396	0	1669	8
397	0	261	7
397	0	1408	12
397	0	1669	8
398	0	261	7
398	0	1043	12
398	0	1304	8
399	0	261	7
399	0	1408	12
399	0	1669	8
400	0	261	7
400	0	1408	12
400	0	1669	8
401	0	261	7
401	0	1408	12
401	0	1669	8
402	0	261	7
402	0	1408	12
402	0	1669	8
403	0	261	7
403	0	1408	12
403	0	1669	8
404	0	261	7
404	0	1408	12
404	0	1669	8
405	0	261	7
405	0	1408	12
405	0	1669	8
406	0	261	7
406	0	1408	12
406	0	1669	8
407	0	261	7
407	0	1408	12
407	0	1669	8
408	0	261	7
408	0	1408	12
408	0	1669	8
409	0	261	7
409	0	1408	12
409	0	1669	8
410	0	261	7
410	0	1408	12
410	0	1669	8
411	0	261	7
411	0	1408	12
411	0	1669	8
412	0	261	7
412	0	1408	12
412	0	1669	8
413	0	261	7
413	0	1408	12
413	0	1669	8
414	0	261	7
414	0	1408	12
414	0	1669	8
415	0	261	7
415	0	1095	12
415	0	1356	8
416	0	261	7
416	0	939	12
416	0	1617	8
417	0	261	7
417	0	1408	12
417	0	1669	8
418	0	261	7
418	0	1408	12
418	0	1669	8
419	0	261	7
419	0	991	12
419	0	1252	8
420	0	261	7
420	0	1408	12
420	0	1669	8
421	0	261	7
421	0	1408	12
421	0	1669	8
422	0	261	7
422	0	1408	12
422	0	1669	8
423	0	261	7
423	0	1408	12
423	0	1669	8
424	0	261	7
424	0	1408	12
424	0	1669	8
425	0	261	7
425	0	1408	12
425	0	1669	8
426	0	261	7
426	0	1304	12
426	0	1617	8
427	0	261	7
427	0	1408	12
427	0	1669	8
428	0	261	7
428	0	1408	12
428	0	1669	8
429	0	261	7
429	0	730	12
429	0	991	8
430	0	261	7
430	0	1408	12
430	0	1669	8
431	0	261	7
431	0	887	12
431	0	1617	8
432	0	261	7
432	0	1408	12
432	0	1669	8
433	0	261	7
433	0	1408	12
433	0	1669	8
434	0	261	7
434	0	939	12
434	0	1200	8
435	0	261	7
435	0	1408	12
435	0	1669	8
436	0	261	7
436	0	1408	12
436	0	1669	8
437	0	261	7
437	0	1408	12
437	0	1669	8
438	0	261	7
438	0	1408	12
438	0	1669	8
439	0	261	7
439	0	1408	12
439	0	1669	8
440	0	261	7
440	0	1252	12
440	0	1617	8
441	0	261	7
441	0	887	12
441	0	1252	8
442	0	261	7
442	0	1408	12
442	0	1669	8
443	0	261	7
443	0	1408	12
443	0	1669	8
444	0	261	7
444	0	1408	12
444	0	1669	8
445	0	261	7
445	0	1408	12
445	0	1669	8
446	0	261	7
446	0	1252	12
446	0	1513	8
447	0	261	7
447	0	1408	12
447	0	1669	8
448	0	261	7
448	0	1408	12
448	0	1669	8
449	0	261	7
449	0	1408	12
449	0	1669	8
450	0	261	7
450	0	1408	12
450	0	1669	8
451	0	261	7
451	0	1408	12
451	0	1669	8
452	0	261	7
452	0	1408	12
452	0	1669	8
453	0	261	7
453	0	1408	12
453	0	1669	8
454	0	261	7
454	0	1408	12
454	0	1669	8
455	0	261	7
455	0	834	12
455	0	1565	8
456	0	261	7
456	0	1408	12
456	0	1669	8
457	0	261	7
457	0	1408	12
457	0	1669	8
458	0	261	7
458	0	1408	12
458	0	1669	8
459	0	261	7
459	0	1408	12
459	0	1669	8
460	0	261	7
460	0	1408	12
460	0	1669	8
461	0	261	7
461	0	1408	12
461	0	1669	8
462	0	261	7
462	0	1252	12
462	0	1617	8
463	0	261	7
463	0	1043	12
463	0	1617	8
464	0	261	7
464	0	521	12
464	0	1252	8
465	0	261	7
465	0	1408	12
465	0	1669	8
466	0	261	7
466	0	1408	12
466	0	1669	8
467	0	261	7
467	0	1408	12
467	0	1669	8
468	0	261	7
468	0	1408	12
468	0	1669	8
469	0	261	7
469	0	1408	12
469	0	1669	8
470	0	261	7
470	0	1408	12
470	0	1669	8
471	0	261	7
471	0	1408	12
471	0	1669	8
472	0	261	7
472	0	1408	12
472	0	1669	8
473	0	261	7
473	0	1408	12
473	0	1669	8
474	0	261	7
474	0	1408	12
474	0	1669	8
475	0	261	7
475	0	939	12
475	0	1565	8
476	0	261	7
476	0	939	12
476	0	1617	8
477	0	261	7
477	0	1408	12
477	0	1669	8
478	0	261	7
478	0	1408	12
478	0	1669	8
479	0	261	7
479	0	1408	12
479	0	1669	8
480	0	261	7
480	0	1408	12
480	0	1669	8
481	0	261	7
481	0	1408	12
481	0	1669	8
482	0	261	7
482	0	1408	12
482	0	1669	8
483	0	261	7
483	0	1408	12
483	0	1669	8
484	0	261	7
484	0	1408	12
484	0	1669	8
485	0	261	7
485	0	1408	12
485	0	1669	8
486	0	261	7
486	0	1356	12
486	0	1617	8
487	0	261	7
487	0	991	12
487	0	1617	8
488	0	261	7
488	0	1408	12
488	0	1669	8
489	0	261	7
489	0	1408	12
489	0	1669	8
490	0	261	7
490	0	1408	12
490	0	1669	8
491	0	261	7
491	0	1408	12
491	0	1669	8
492	0	261	7
492	0	1408	12
492	0	1669	8
493	0	261	7
493	0	1408	12
493	0	1669	8
494	0	261	7
494	0	1408	12
494	0	1669	8
495	0	261	7
495	0	1408	12
495	0	1669	8
496	0	261	7
496	0	1408	12
496	0	1669	8
497	0	261	7
497	0	1408	12
497	0	1669	8
498	0	261	7
498	0	1043	12
498	0	1304	8
499	0	261	7
499	0	1408	12
499	0	1669	8
500	0	261	7
500	0	1408	12
500	0	1669	8
501	0	261	7
501	0	1408	12
501	0	1669	8
502	0	261	7
502	0	1408	12
502	0	1669	8
503	0	261	7
503	0	1408	12
503	0	1669	8
504	0	261	7
504	0	1200	12
504	0	1617	8
505	0	261	7
505	0	1408	12
505	0	1669	8
506	0	261	7
506	0	1408	12
506	0	1669	8
507	0	261	7
507	0	1408	12
507	0	1669	8
508	0	261	7
508	0	1408	12
508	0	1669	8
509	0	261	7
509	0	1408	12
509	0	1669	8
510	0	261	7
510	0	1408	12
510	0	1669	8
511	0	261	7
511	0	1408	12
511	0	1669	8
512	0	261	7
512	0	1408	12
512	0	1669	8
513	0	261	7
513	0	1408	12
513	0	1669	8
514	0	261	7
514	0	1408	12
514	0	1669	8
515	0	261	7
515	0	1408	12
515	0	1669	8
516	0	261	7
516	0	1408	12
516	0	1669	8
517	0	261	7
517	0	1408	12
517	0	1669	8
518	0	261	7
518	0	1200	12
518	0	1617	8
519	0	261	7
519	0	1408	12
519	0	1669	8
520	0	261	7
520	0	1408	12
520	0	1669	8
521	0	261	7
521	0	1408	12
521	0	1669	8
522	0	261	7
522	0	1408	12
522	0	1669	8
523	0	261	7
523	0	1408	12
523	0	1669	8
524	0	261	7
524	0	1408	12
524	0	1669	8
525	0	261	7
525	0	1408	12
525	0	1669	8
526	0	261	7
526	0	1356	12
526	0	1617	8
527	0	261	7
527	0	1356	12
527	0	1617	8
528	0	261	7
528	0	1408	12
528	0	1669	8
529	0	261	7
529	0	1408	12
529	0	1669	8
530	0	261	7
530	0	1408	12
530	0	1669	8
531	0	261	7
531	0	1408	12
531	0	1669	8
532	0	261	7
532	0	1408	12
532	0	1669	8
533	0	261	7
533	0	991	12
533	0	1617	8
534	0	261	7
534	0	1408	12
534	0	1669	8
535	0	261	7
535	0	1200	12
535	0	1461	8
536	0	261	7
536	0	1408	12
536	0	1669	8
537	0	261	7
537	0	730	12
537	0	1252	8
538	0	261	7
538	0	1408	12
