0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0water_price,0gross_rev,0drought_cost,0cont_contrib,0debt_serv,0infra_npv,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity,1water_price,1gross_rev,1drought_cost,1cont_contrib,1debt_serv,1infra_npv
79.2701,85.139,1.42365,0.03,0,2.45366,2.59141,0,0.459618,4.47552,3.94875e+06,9.68889e+06,371117,305506,0,0,95.6504,98.274,1.49532,0,1,1.71468,1.57693,0,1.32476,2.1168,8.20631e+06,1.40712e+07,287398,372673,0,0
78.0043,85.139,1.29549,0.04,0,2.45472,2.59207,0,0.459816,4.47552,3.94875e+06,9.69307e+06,362055,305583,0,0,94.9317,98.274,1.41957,0,1,1.71468,1.57733,0,1.32476,2.1168,8.20631e+06,1.40712e+07,278579,372767,0,0
76.523,85.139,1.20889,0.04,0,2.62893,2.76589,0,0.460014,4.47552,3.94875e+06,1.0381e+07,350874,326075,0,0,93.8553,98.274,1.31465,0,1,1.85052,1.71356,0,1.32476,2.1168,8.20631e+06,1.51859e+07,267640,404964,0,0
75.0269,85.139,1.33486,0.04,0,2.76587,2.76659,0,0.492662,4.47552,3.94875e+06,1.09217e+07,0,326157,0,0,93.1267,98.274,1.05409,0,1,1.71471,1.714,0,1.42971,2.1168,8.20631e+06,1.40715e+07,0,405067,0,0
73.4566,85.139,1.25105,0.04,0,2.76701,2.76729,0,0.518324,4.47552,3.94875e+06,1.09262e+07,0,326240,0,0,92.5194,98.274,1.29938,0,1,1.71472,1.71443,0,1.32479,2.1168,8.20631e+06,1.40715e+07,0,405169,0,0
71.8264,85.139,1.18232,0.04,0,2.76799,2.76799,0,0.518538,4.47552,3.94875e+06,1.09301e+07,0,326323,0,0,91.8771,98.274,1.38136,0,1,1.71487,1.71487,0,1.32479,2.1168,8.20631e+06,1.40727e+07,0,405272,0,0
70.1787,85.139,1.14886,0.04,0,2.7687,2.7687,0,0.518722,4.47552,3.94875e+06,1.09329e+07,0,326406,0,0,90.9581,98.274,1.36886,0,1,1.7153,1.7153,0,1.32491,2.1168,8.20631e+06,1.40763e+07,0,405375,0,0
68.3647,85.139,0.964453,0.05,0,2.6849,2.6849,0,0.518854,4.47552,3.94875e+06,1.0602e+07,0,316527,0,0,90.5336,98.274,0.961645,0,1,1.63319,1.63319,0,1.32524,2.1168,8.20631e+06,1.34024e+07,0,385969,0,0
66.4695,85.139,0.800402,0.05,0,2.60449,2.68558,0,0.503151,4.47552,3.94875e+06,1.02845e+07,0,316608,0,0,89.5936,98.274,1.50226,0,1,1.71469,1.6336,0,1.2618,2.1168,8.20631e+06,1.40713e+07,0,386067,0,0
64.4625,85.139,0.670303,0.08,0,2.60559,2.68626,0,0.488082,4.47552,3.94875e+06,1.02888e+07,0,316688,0,0,88.5993,98.274,0.810388,0,1,1.71469,1.63402,0,1.32477,2.1168,8.20631e+06,1.40713e+07,0,386165,0,0
