0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv
0,0,0,0,0,0,0,0,0,0,3.02075e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.0209e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.02105e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.02129e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.0215e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.0216e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.02169e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.02179e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.02188e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.02197e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.02207e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.02227e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.02264e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.02296e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.02304e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.02332e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.02361e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.02355e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.024e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.0246e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.02487e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.02499e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.02507e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.19269e+12,0,0,3.86182e+08,0
0,0,0,0,0,0,0,0,0,0,3.19291e+12,0,0,3.86182e+08,0
0,0,0,0,0,0,0,0,0,0,3.19308e+12,0,0,3.86182e+08,0
0,0,0,0,0,0,0,0,0,0,3.19322e+12,0,0,3.86182e+08,0
0,0,0,0,0,0,0,0,0,0,3.19337e+12,0,0,3.86182e+08,0
0,0,0,0,0,0,0,0,0,0,3.1935e+12,0,0,3.86182e+08,0
0,0,0,0,0,0,0,0,0,0,3.19364e+12,0,0,3.86182e+08,0
0,0,0,0,0,0,0,0,0,0,3.19378e+12,0,0,3.86182e+08,0
0,0,0,0,0,0,0,0,0,0,3.1939e+12,0,0,3.86182e+08,0
0,0,0,0,0,0,0,0,0,0,3.19402e+12,0,0,3.86182e+08,0
0,0,0,0,0,0,0,0,0,0,3.19419e+12,0,0,3.86182e+08,0
0,0,0,0,0,0,0,0,0,0,3.19433e+12,0,0,3.86182e+08,0
0,0,0,0,0,0,0,0,0,0,3.19452e+12,0,0,3.86182e+08,0
0,0,0,0,0,0,0,0,0,0,3.19479e+12,0,0,3.86182e+08,0
0,0,0,0,0,0,0,0,0,0,3.19495e+12,0,0,3.86182e+08,0
0,0,0,0,0,0,0,0,0,0,3.19511e+12,0,0,3.86182e+08,0
0,0,0,0,0,0,0,0,0,0,3.19528e+12,0,0,3.86182e+08,0
0,0,0,0,0,0,0,0,0,0,3.19544e+12,0,0,3.86182e+08,0
0,0,0,0,0,0,0,0,0,0,3.19557e+12,0,0,3.86182e+08,0
0,0,0,0,0,0,0,0,0,0,3.1957e+12,0,0,3.86182e+08,0
0,0,0,0,0,0,0,0,0,0,3.19583e+12,0,0,3.86182e+08,0
0,0,0,0,0,0,0,0,0,0,3.19598e+12,0,0,3.86182e+08,0
0,0,0,0,0,0,0,0,0,0,3.19611e+12,0,0,3.86182e+08,0
0,0,0,0,0,0,0,0,0,0,3.19625e+12,0,0,3.86182e+08,0
