0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity
84.7168,85.139,2.44773,0.02,0,2.60337,2.60337,0,0.492151,4.47552,99.3022,98.274,2.9739,0,1,1.58251,1.58251,0,1.18881,2.1168
84.1301,85.139,2.28074,0.03,0,2.60406,2.60406,0,0.487872,4.47552,99.3022,98.274,2.78776,0,1,1.58293,1.58293,0,1.22265,2.1168
83.3641,85.139,2.09643,0.03,0,2.60475,2.60475,0,0.488001,4.47552,99.3022,98.274,2.79934,0,1,1.58334,1.58334,0,1.22297,2.1168
82.4349,85.139,1.92009,0.03,0,2.60544,2.60544,0,0.48813,4.47552,99.2594,98.274,2.47726,0,1,1.58376,1.58376,0,1.22329,2.1168
81.163,85.139,1.58116,0.03,0,2.66695,2.66695,0,0.488259,4.47552,99.0119,98.274,2.01825,0,1,1.62289,1.62289,0,1.22361,2.1168
79.8245,85.139,1.50893,0.03,0,2.66765,2.66765,0,0.499786,4.47552,98.937,98.274,1.95164,0,1,1.62332,1.62332,0,1.25385,2.1168
78.384,85.139,1.37632,0.03,0,2.66836,2.66836,0,0.499918,4.47552,98.557,98.274,1.92487,0,1,1.62375,1.62375,0,1.25418,2.1168
76.8449,85.139,1.26392,0.04,0,2.66906,2.66906,0,0.50005,4.47552,98.4165,98.274,1.68597,0,1,1.62418,1.62418,0,1.25451,2.1168
75.2418,85.139,1.32782,0.04,0,2.84807,2.84807,0,0.500182,4.47552,97.9753,98.274,2.02156,0,1,1.76448,1.76448,0,1.25484,2.1168
73.4804,85.139,1.12384,0.04,0,2.84882,2.84882,0,0.533729,4.47552,97.6956,98.274,1.67123,0,1,1.76495,1.76495,0,1.36324,2.1168
71.8591,85.139,1.26705,0.06,0,2.84958,2.84958,0,0.53387,4.47552,97.1485,98.274,2.04923,0,1,1.76541,1.76541,0,1.3636,2.1168
70.0031,85.139,1.02339,0.07,0,2.85033,2.85033,0,0.534011,4.47552,96.858,98.274,1.49094,0,1,1.76588,1.76588,0,1.36396,2.1168
68.3828,85.139,1.23387,0.07,0,2.85108,2.85108,0,0.534152,4.47552,96.6427,98.274,2.56738,0,1,1.76635,1.76635,0,1.36432,2.1168
66.578,85.139,0.982746,0.07,0,2.76482,2.76482,0,0.534293,4.47552,96.3372,98.274,1.73503,0,1,1.6818,1.6818,0,1.36468,2.1168
64.9189,85.139,1.11014,0.11,0,2.76555,2.76555,0,0.518128,4.47552,96.0299,98.274,1.85816,0,1,1.68225,1.68225,0,1.29936,2.1168
63.0903,85.139,0.923817,0.11,0,2.76628,2.76628,0,0.518265,4.47552,95.7627,98.274,2.94008,0,1,1.68269,1.68269,0,1.2997,2.1168
61.1338,85.139,0.775741,0.11,0,2.76702,2.76702,0,0.518402,4.47552,95.1876,98.274,1.5812,0,1,1.68314,1.68314,0,1.30005,2.1168
59.3105,85.139,0.85976,0.13,0,2.69625,2.69625,0,0.518539,4.47552,94.9437,98.274,1.48589,0,1,1.60612,1.60612,0,1.30039,2.1168
57.6186,85.139,0.998379,0.13,0,2.69696,2.69696,0,0.505277,4.47552,94.7862,98.274,2.20368,0,1,1.60654,1.60654,0,1.24089,2.1168
57.6416,85.139,2.81532,0.14,0,2.69767,2.69767,0,0.505411,4.47552,95.2024,98.274,4.88316,0,1,1.60697,1.60697,0,1.24122,2.1168
56.6894,85.139,1.8085,0.14,0,2.69839,2.69839,0,0.505544,4.47552,95.5024,98.274,2.18151,0,1,1.60739,1.60739,0,1.24154,2.1168
