0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0gross_rev,0cont_contrib,0drought_cost
4.16107e+07,0,0,0,0,9.16519e+06,166385,0
4.17772e+07,0,0,0,0,9.16799e+06,166436,0
4.19436e+07,0,0,0,0,9.17079e+06,166487,0
4.21102e+07,0,0,0,0,9.17359e+06,166538,0
4.22689e+07,0,0,0,0,8.81283e+06,158731,0
4.24277e+07,0,0,0,0,8.81552e+06,158779,0
4.25865e+07,0,0,0,0,8.81821e+06,158828,0
4.27454e+07,0,0,0,0,8.8209e+06,158876,0
4.28972e+07,0,0,0,0,8.50435e+06,151788,0
4.3049e+07,0,0,0,0,8.50694e+06,151834,0
4.32009e+07,0,0,0,0,8.50954e+06,151880,0
4.33528e+07,0,0,0,0,8.51213e+06,151927,0
4.34897e+07,0,0,0,0,7.76484e+06,136921,0
4.36267e+07,0,0,0,0,7.7672e+06,136963,0
4.37637e+07,0,0,0,0,7.76957e+06,137004,0
4.39008e+07,0,0,0,0,7.77194e+06,137046,0
4.40378e+07,0,0,0,0,7.77431e+06,137088,0
4.41749e+07,0,0,0,0,7.77431e+06,137088,0
4.43165e+07,0,0,0,3.27677e+179,8.02416e+06,141555,0
4.44581e+07,0,0,0,0,8.02652e+06,141596,0
4.45997e+07,0,0,0,0,8.02887e+06,141638,0
4.47414e+07,0,0,0,0,8.03123e+06,141679,0
4.48996e+07,0,0,0,0,8.89781e+06,158222,0
4.50579e+07,0,0,0,0,8.90042e+06,158268,0
4.52162e+07,0,0,0,0,8.90303e+06,158315,0
4.53746e+07,0,0,0,0,8.90564e+06,158361,0
4.55107e+07,0,0,0,0,7.71407e+06,136170,0
4.56469e+07,0,0,0,0,7.71633e+06,136210,0
4.57832e+07,0,0,0,0,7.7186e+06,136250,0
4.59195e+07,0,0,0,0,7.72086e+06,136290,0
4.60558e+07,0,0,0,0,7.72312e+06,136330,0
4.61976e+07,0,0,0,0,8.02191e+06,141826,0
4.63395e+07,0,0,0,0,8.02426e+06,141867,0
4.64814e+07,0,0,0,0,8.02661e+06,141909,0
4.66234e+07,0,0,0,0,8.02896e+06,141950,0
4.67632e+07,0,0,0,0,7.91564e+06,139870,0
4.69031e+07,0,0,0,0,7.91796e+06,139911,0
4.70431e+07,0,0,0,0,7.92028e+06,139952,0
4.71831e+07,0,0,0,0,7.92259e+06,139993,0
4.73306e+07,0,0,0,0,8.32721e+06,147552,0
4.74782e+07,0,0,0,0,8.32965e+06,147595,0
4.76259e+07,0,0,0,0,8.33209e+06,147638,0
4.77736e+07,0,0,0,0,8.33453e+06,147681,0
4.79213e+07,0,0,0,0,8.33697e+06,147725,0
4.80729e+07,0,0,0,0,8.42068e+06,151623,0
4.82246e+07,0,0,0,0,8.42315e+06,151667,0
4.83763e+07,0,0,0,0,8.42561e+06,151711,0
4.8528e+07,0,0,0,0,8.42808e+06,151756,0
4.86835e+07,0,0,0,0,8.63204e+06,155500,0
4.88391e+07,0,0,0,0,8.63456e+06,155546,0
4.89947e+07,0,0,0,0,8.63709e+06,155591,0
4.91503e+07,0,0,0,0,8.63961e+06,155637,0
5.3337e+07,0,0,0,0,1.33227e+07,4.18672e+06,0
5.7525e+07,0,0,0,0,1.33266e+07,4.18795e+06,0
6.17142e+07,0,0,0,0,1.33305e+07,4.18917e+06,0
6.59046e+07,0,0,0,0,1.33344e+07,4.1904e+06,0
7.00962e+07,0,0,0,0,1.33383e+07,4.19162e+06,0
7.02574e+07,0,0,0,0,8.94932e+06,161189,0
7.04186e+07,0,0,0,0,8.95194e+06,161236,0
7.05799e+07,0,0,0,0,8.95456e+06,161284,0
7.07412e+07,0,0,0,0,8.95717e+06,161331,0
7.08953e+07,0,0,0,0,8.63562e+06,154131,0
7.10495e+07,0,0,0,0,8.63815e+06,154176,0
7.12037e+07,0,0,0,0,8.64067e+06,154221,0
7.1358e+07,0,0,0,0,8.64319e+06,154266,0
7.1497e+07,0,0,0,0,7.88429e+06,139027,0
7.16361e+07,0,0,0,0,7.88659e+06,139068,0
7.17752e+07,0,0,0,0,7.88889e+06,139108,0
7.19144e+07,0,0,0,0,7.8912e+06,139149,0
7.20535e+07,0,0,0,0,7.8935e+06,139190,0
7.21973e+07,0,0,0,3.27677e+179,8.14708e+06,143723,0
7.2341e+07,0,0,0,0,8.14936e+06,143763,0
7.24848e+07,0,0,0,0,8.15165e+06,143804,0
7.26287e+07,0,0,0,0,8.15393e+06,143844,0
7.27893e+07,0,0,0,0,9.03364e+06,160637,0
7.295e+07,0,0,0,0,9.03618e+06,160682,0
7.31107e+07,0,0,0,0,9.03871e+06,160727,0
7.32715e+07,0,0,0,0,9.04124e+06,160772,0
7.34097e+07,0,0,0,0,7.83143e+06,138242,0
7.3548e+07,0,0,0,0,7.83362e+06,138281,0
7.36863e+07,0,0,0,0,7.83582e+06,138319,0
7.38247e+07,0,0,0,0,7.83801e+06,138358,0
7.39631e+07,0,0,0,0,7.84021e+06,138397,0
7.41071e+07,0,0,0,0,8.14342e+06,143974,0
7.42511e+07,0,0,0,0,8.1457e+06,144015,0
7.43951e+07,0,0,0,0,8.14799e+06,144055,0
7.45392e+07,0,0,0,0,8.15027e+06,144095,0
7.46812e+07,0,0,0,0,8.03513e+06,141981,0
7.48232e+07,0,0,0,0,8.03738e+06,142021,0
7.49653e+07,0,0,0,0,8.03963e+06,142061,0
7.51074e+07,0,0,0,0,8.04188e+06,142100,0
7.52572e+07,0,0,0,0,8.45248e+06,149771,0
7.5407e+07,0,0,0,0,8.45485e+06,149813,0
7.55568e+07,0,0,0,0,8.45722e+06,149855,0
7.57067e+07,0,0,0,0,8.45958e+06,149897,0
7.58567e+07,0,0,0,0,8.46195e+06,149939,0
7.60106e+07,0,0,0,0,8.54681e+06,153894,0
7.61645e+07,0,0,0,0,8.5492e+06,153937,0
7.63185e+07,0,0,0,0,8.55159e+06,153980,0
7.64725e+07,0,0,0,0,8.55399e+06,154023,0
7.66303e+07,0,0,0,0,8.76088e+06,157822,0
7.67882e+07,0,0,0,0,8.76333e+06,157866,0
7.69461e+07,0,0,0,0,8.76578e+06,157910,0
7.71041e+07,0,0,0,0,8.76823e+06,157954,0
8.13531e+07,0,0,0,0,1.35209e+07,4.249e+06,0
8.56032e+07,0,0,0,0,1.35247e+07,4.25019e+06,0
8.98546e+07,0,0,0,0,1.35284e+07,4.25137e+06,0
9.41072e+07,0,0,0,0,1.35322e+07,4.25256e+06,0
9.83609e+07,0,0,0,0,1.3536e+07,4.25375e+06,0
9.85245e+07,0,0,0,0,9.08186e+06,163576,0
9.86881e+07,0,0,0,0,9.0844e+06,163622,0
9.88518e+07,0,0,0,0,9.08694e+06,163668,0
9.90155e+07,0,0,0,0,9.08947e+06,163714,0
9.91719e+07,0,0,0,0,8.76306e+06,156405,0
9.93284e+07,0,0,0,0,8.76551e+06,156449,0
9.94849e+07,0,0,0,0,8.76796e+06,156493,0
9.96414e+07,0,0,0,0,8.77041e+06,156536,0
9.97825e+07,0,0,0,0,8.00023e+06,141072,0
9.99236e+07,0,0,0,0,8.00246e+06,141111,0
1.00065e+08,0,0,0,0,8.0047e+06,141150,0
1.00206e+08,0,0,0,0,8.00693e+06,141190,0
1.00347e+08,0,0,0,0,8.00917e+06,141229,0
1.00493e+08,0,0,0,3.27677e+179,8.26636e+06,145827,0
1.00639e+08,0,0,0,0,8.26857e+06,145866,0
1.00785e+08,0,0,0,0,8.27079e+06,145905,0
1.00931e+08,0,0,0,0,8.273e+06,145944,0
1.01094e+08,0,0,0,0,9.16544e+06,162981,0
1.01257e+08,0,0,0,0,9.1679e+06,163024,0
1.0142e+08,0,0,0,0,9.17035e+06,163068,0
1.01583e+08,0,0,0,0,9.17281e+06,163112,0
1.01723e+08,0,0,0,0,7.94529e+06,140252,0
1.01863e+08,0,0,0,0,7.94742e+06,140289,0
1.02004e+08,0,0,0,0,7.94954e+06,140327,0
1.02144e+08,0,0,0,0,7.95167e+06,140364,0
1.02285e+08,0,0,0,0,7.9538e+06,140402,0
1.02431e+08,0,0,0,0,8.2613e+06,146058,0
1.02577e+08,0,0,0,0,8.26351e+06,146097,0
1.02723e+08,0,0,0,0,8.26572e+06,146136,0
1.02869e+08,0,0,0,0,8.26793e+06,146176,0
1.03013e+08,0,0,0,0,8.15103e+06,144029,0
