0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity
85.139,85.139,8.17562,0.04,0,2.13903,2.43993,0,0.40058,4.47552,99.3022,98.274,7.42498,0,1,1.71482,1.41392,0,1.32487,2.1168
85.139,85.139,7.72337,0.04,0,2.1405,2.44085,0,0.400855,4.47552,99.3022,98.274,10.5655,0,1,1.71482,1.41446,0,1.32487,2.1168
85.139,85.139,13.8547,0.05,0,2.14196,2.44178,0,0.401129,4.47552,99.3022,98.274,14.8321,0,1,1.71482,1.415,0,1.32487,2.1168
85.139,85.139,8.34578,0.05,0,2.21994,2.51922,0,0.401404,4.47552,99.3022,98.274,6.74867,0,1,1.76058,1.4613,0,1.32487,2.1168
85.139,85.139,7.85936,0.05,0,2.26716,2.52014,0,0.416016,4.47552,99.3022,98.274,7.27269,0,1,1.71482,1.46183,0,1.36022,2.1168
85.139,85.139,7.21703,0.05,0,2.26863,2.52107,0,0.424866,4.47552,99.3022,98.274,4.27632,0,1,1.71482,1.46237,0,1.32487,2.1168
85.139,85.139,6.66521,0.05,0,2.27009,2.522,0,0.425141,4.47552,99.3022,98.274,4.22394,0,1,1.71482,1.46291,0,1.32487,2.1168
85.139,85.139,4.28572,0.05,0,2.51764,2.76901,0,0.425416,4.47552,99.3022,98.274,3.51948,0,1,1.88689,1.63552,0,1.32487,2.1168
84.1053,85.139,2.06028,0.05,0,2.69127,2.77003,0,0.471806,4.47552,99.3022,98.274,4.25011,0,1,1.71488,1.63612,0,1.45781,2.1168
85.139,85.139,6.51821,0.06,0,2.69289,2.77105,0,0.504344,4.47552,99.2908,98.274,4.75053,0,1,1.71488,1.63673,0,1.32492,2.1168
84.9993,85.139,2.9764,0.05,0,2.69452,2.77207,0,0.504648,4.47552,99.3022,98.274,3.03159,0,1,1.71488,1.63733,0,1.32492,2.1168
85.139,85.139,5.48143,0.07,0,2.34463,2.42158,0,0.504953,4.47552,99.3022,98.274,7.15022,0,1,1.48362,1.40667,0,1.32492,2.1168
85.139,85.139,8.18866,0.05,0,2.12008,2.42248,0,0.439384,4.47552,99.3022,98.274,10.5075,0,1,1.70959,1.40719,0,1.14625,2.1168
85.139,85.139,5.61336,0.05,0,2.12097,2.42337,0,0.397302,4.47552,99.3022,98.274,8.14549,0,1,1.71011,1.40771,0,1.32083,2.1168
85.139,85.139,7.49433,0.05,0,2.12186,2.42426,0,0.397469,4.47552,99.3022,98.274,9.55988,0,1,1.71062,1.40822,0,1.32123,2.1168
85.139,85.139,7.92421,0.05,0,2.12275,2.42515,0,0.397636,4.47552,99.3022,98.274,11.9935,0,1,1.71114,1.40874,0,1.32163,2.1168
85.139,85.139,4.68656,0.05,0,2.21229,2.51469,0,0.397804,4.47552,99.3022,98.274,8.1251,0,1,1.76834,1.46594,0,1.32203,2.1168
